ensembl_gene_id	external_gene_name	gene_biotype	description
FBgn0267257	CR45693	lincRNA	
FBgn0259840	Su(Ste):CR42409	lincRNA	Su(Ste):CR42409 [Source:FlyBase gene name;Acc:FBgn0259840]
FBgn0265156	CR44225	lincRNA	
FBgn0265589	CR44416	lincRNA	
FBgn0267314	CR45750	lincRNA	
FBgn0266939	CR45390	lincRNA	
FBgn0051386	CR31386	lincRNA	
FBgn0263664	CR43655	lincRNA	
FBgn0266821	CR45283	lincRNA	
FBgn0263587	CR43612	lincRNA	
FBgn0265645	CR44452	lincRNA	
FBgn0265145	CR44214	lincRNA	
FBgn0267117	CR45557	lincRNA	
FBgn0264717	CR43985	lincRNA	
FBgn0264786	CR44016	lincRNA	
FBgn0266360	CR45008	lincRNA	
FBgn0265680	CR44487	lincRNA	
FBgn0266853	CR45314	lincRNA	
FBgn0265371	CR44312	lincRNA	
FBgn0267481	CR45831	lincRNA	
FBgn0267303	CR45739	lincRNA	
FBgn0267115	CR45555	lincRNA	
FBgn0263488	CR43603	lincRNA	
FBgn0259848	Su(Ste):CR42417	lincRNA	Su(Ste):CR42417 [Source:FlyBase gene name;Acc:FBgn0259848]
FBgn0266742	CR45215	lincRNA	
FBgn0267035	CR45479	lincRNA	
FBgn0085523	Su(Ste):CR40820	lincRNA	
FBgn0265703	CR44510	lincRNA	
FBgn0267553	CR45893	lincRNA	
FBgn0262741	MRE23	lincRNA	mRNA-like ncRNA in embryogenesis 23 [Source:FlyBase gene name;Acc:FBgn0262741]
FBgn0266244	CR44939	lincRNA	
FBgn0083120	Uhg8	lincRNA	Uhg8 [Source:FlyBase gene name;Acc:FBgn0083120]
FBgn0265468	CR44361	lincRNA	
FBgn0266927	CR45378	lincRNA	
FBgn0267451	CR45801	lincRNA	
FBgn0263981	CR43730	lincRNA	
FBgn0265341	CR44295	lincRNA	
FBgn0266020	CR44785	lincRNA	
FBgn0264948	CR44117	lincRNA	
FBgn0267235	CR45675	lincRNA	
FBgn0265895	CR44684	lincRNA	
FBgn0053746	snmRNA:430:CR33746	lincRNA	snmRNA:430:CR33746 [Source:FlyBase gene name;Acc:FBgn0053746]
FBgn0267119	CR45559	lincRNA	
FBgn0267201	CR45641	lincRNA	
FBgn0267226	CR45666	lincRNA	
FBgn0265498	CR44367	lincRNA	
FBgn0263444	CR43467	lincRNA	
FBgn0262148	CR42874	lincRNA	
FBgn0265996	CR44771	lincRNA	
FBgn0263665	CR43656	lincRNA	
FBgn0267144	CR45584	lincRNA	
FBgn0264430	CR43848	lincRNA	
FBgn0259112	CR42254	lincRNA	
FBgn0264350	CR43806	lincRNA	
FBgn0266037	CR44802	lincRNA	
FBgn0266841	CR45303	lincRNA	
FBgn0265914	CR44703	lincRNA	
FBgn0265698	CR44505	lincRNA	
FBgn0266228	CR44923	lincRNA	
FBgn0267647	CR45985	lincRNA	
FBgn0265746	CR44553	lincRNA	
FBgn0264504	CR43903	lincRNA	
FBgn0265953	CR44740	lincRNA	
FBgn0263651	CR43642	lincRNA	
FBgn0265888	CR44677	lincRNA	
FBgn0262902	CR43257	lincRNA	
FBgn0267120	CR45560	lincRNA	
FBgn0262690	CR43160	lincRNA	
FBgn0266594	CR45119	lincRNA	
FBgn0264704	CR43973	lincRNA	
FBgn0266165	CR44871	lincRNA	
FBgn0266590	CR45115	lincRNA	
FBgn0265704	CR44511	lincRNA	
FBgn0267176	CR45616	lincRNA	
FBgn0266197	CR44892	lincRNA	
FBgn0266405	CR45045	lincRNA	
FBgn0265363	CR44304	lincRNA	
FBgn0266264	CR44959	lincRNA	
FBgn0263628	CR43637	lincRNA	
FBgn0267793	CR45232	lincRNA	
FBgn0265068	CR44179	lincRNA	
FBgn0259875	Su(Ste):CR42444	lincRNA	Su(Ste):CR42444 [Source:FlyBase gene name;Acc:FBgn0259875]
FBgn0267475	CR45825	lincRNA	
FBgn0267155	CR45595	lincRNA	
FBgn0267740	CR46071	lincRNA	
FBgn0267749	CR46080	lincRNA	
FBgn0266926	CR45377	lincRNA	
FBgn0267241	CR45681	lincRNA	
FBgn0265882	CR44671	lincRNA	
FBgn0267079	CR45523	lincRNA	
FBgn0262945	CR43264	lincRNA	
FBgn0265306	CR44279	lincRNA	
FBgn0265497	CR44366	lincRNA	
FBgn0263451	CR43474	lincRNA	
FBgn0053731	snmRNA:430:CR33731	lincRNA	snmRNA:430:CR33731 [Source:FlyBase gene name;Acc:FBgn0053731]
FBgn0267152	CR45592	lincRNA	
FBgn0266770	CR45235	lincRNA	
FBgn0264914	CR44105	lincRNA	
FBgn0264834	CR44042	lincRNA	
FBgn0266402	CR45042	lincRNA	
FBgn0265667	CR44474	lincRNA	
FBgn0267207	CR45647	lincRNA	
FBgn0265167	CR44236	lincRNA	
FBgn0266257	CR44952	lincRNA	
FBgn0267098	CR45538	lincRNA	
FBgn0265196	CR44256	lincRNA	
FBgn0267439	CR45789	lincRNA	
FBgn0266873	CR45334	lincRNA	
FBgn0262897	CR43252	lincRNA	
FBgn0266914	CR45374	lincRNA	
FBgn0265530	CR44380	lincRNA	
FBgn0266568	yar	lincRNA	yellow-achaete intergenic RNA [Source:FlyBase gene name;Acc:FBgn0266568]
FBgn0267765	CR46096	lincRNA	
FBgn0267285	CR45721	lincRNA	
FBgn0264679	CR43964	lincRNA	
FBgn0046297	CR9284	lincRNA	
FBgn0260722	CR42549	lincRNA	
FBgn0267770	CR46101	lincRNA	
FBgn0267641	CR45979	lincRNA	
FBgn0265640	CR44447	lincRNA	
FBgn0262825	CR43196	lincRNA	
FBgn0266380	CR45022	lincRNA	
FBgn0265715	CR44522	lincRNA	
FBgn0266207	CR44902	lincRNA	
FBgn0265496	CR44365	lincRNA	
FBgn0265087	CR44198	lincRNA	
FBgn0266392	CR45032	lincRNA	
FBgn0265202	CR44262	lincRNA	
FBgn0265419	CR44331	lincRNA	
FBgn0266744	CR45217	lincRNA	
FBgn0264348	CR43804	lincRNA	
FBgn0266648	CR45155	lincRNA	
FBgn0262681	CR43151	lincRNA	
FBgn0266280	CR44965	lincRNA	
FBgn0263337	CR43418	lincRNA	
FBgn0266595	CR45120	lincRNA	
FBgn0265203	CR44263	lincRNA	
FBgn0265592	CR44419	lincRNA	
FBgn0267562	CR45902	lincRNA	
FBgn0264367	CR43819	lincRNA	
FBgn0266776	CR45241	lincRNA	
FBgn0266683	CR45173	lincRNA	
FBgn0267755	CR46086	lincRNA	
FBgn0053740	snmRNA:430:CR33740	lincRNA	snmRNA:430:CR33740 [Source:FlyBase gene name;Acc:FBgn0053740]
FBgn0266214	CR44909	lincRNA	
FBgn0263764	CR43681	lincRNA	
FBgn0053727	snmRNA:430:CR33727	lincRNA	snmRNA:430:CR33727 [Source:FlyBase gene name;Acc:FBgn0053727]
FBgn0266589	CR45114	lincRNA	
FBgn0264496	CR43898	lincRNA	
FBgn0262993	CR43301	lincRNA	
FBgn0267018	CR45462	lincRNA	
FBgn0265852	CR44641	lincRNA	
FBgn0267613	CR45951	lincRNA	
FBgn0265526	CR44376	lincRNA	
FBgn0265905	CR44694	lincRNA	
FBgn0267637	CR45975	lincRNA	
FBgn0266351	CR45000	lincRNA	
FBgn0267242	CR45682	lincRNA	
FBgn0265954	CR44741	lincRNA	
FBgn0264702	CR43971	lincRNA	
FBgn0267021	CR45465	lincRNA	
FBgn0267738	CR46069	lincRNA	
FBgn0267089	CR45533	lincRNA	
FBgn0266737	CR45210	lincRNA	
FBgn0265812	CR44601	lincRNA	
FBgn0267789	CR46120	lincRNA	
FBgn0264565	CR43937	lincRNA	
FBgn0267188	CR45628	lincRNA	
FBgn0266795	CR45257	lincRNA	
FBgn0266381	CR45023	lincRNA	
FBgn0263446	CR43469	lincRNA	
FBgn0264882	CR44073	lincRNA	
FBgn0265694	CR44501	lincRNA	
FBgn0263095	CR43363	lincRNA	
FBgn0065105	snmRNA:157	lincRNA	small non-messenger RNA 157 [Source:FlyBase gene name;Acc:FBgn0065105]
FBgn0264382	CR43834	lincRNA	
FBgn0266774	CR45239	lincRNA	
FBgn0264471	CR43879	lincRNA	
FBgn0262904	CR43259	lincRNA	
FBgn0264883	CR44074	lincRNA	
FBgn0266157	CR44863	lincRNA	
FBgn0265424	CR44336	lincRNA	
FBgn0266956	CR45407	lincRNA	
FBgn0265962	CR44749	lincRNA	
FBgn0265937	CR44724	lincRNA	
FBgn0265085	CR44196	lincRNA	
FBgn0054052	CR34052	lincRNA	
FBgn0267788	CR46119	lincRNA	
FBgn0065084	snmRNA:763	lincRNA	small non-messenger RNA 763 [Source:FlyBase gene name;Acc:FBgn0065084]
FBgn0263967	CR43723	lincRNA	
FBgn0266849	CR45310	lincRNA	
FBgn0264992	CR44143	lincRNA	
FBgn0259850	Su(Ste):CR42419	lincRNA	Su(Ste):CR42419 [Source:FlyBase gene name;Acc:FBgn0259850]
FBgn0051451	CR31451	lincRNA	
FBgn0267317	CR45753	lincRNA	
FBgn0266631	CR45138	lincRNA	
FBgn0263649	CR43640	lincRNA	
FBgn0266698	CR45188	lincRNA	
FBgn0264958	CR44127	lincRNA	
FBgn0267600	CR45938	lincRNA	
FBgn0061188	Yu	lincRNA	Yu [Source:FlyBase gene name;Acc:FBgn0061188]
FBgn0263335	CR43416	lincRNA	
FBgn0264517	CR43916	lincRNA	
FBgn0052582	CR32582	lincRNA	
FBgn0263867	CR43714	lincRNA	
FBgn0267003	CR45447	lincRNA	
FBgn0267476	CR45826	lincRNA	
FBgn0265798	CR44587	lincRNA	
FBgn0265588	CR44415	lincRNA	
FBgn0266219	CR44914	lincRNA	
FBgn0265929	CR44718	lincRNA	
FBgn0265864	CR44653	lincRNA	
FBgn0265678	CR44485	lincRNA	
FBgn0262951	CR43270	lincRNA	
FBgn0263339	CR43420	lincRNA	
FBgn0085673	Su(Ste):CR41533	lincRNA	
FBgn0267605	CR45943	lincRNA	
FBgn0264955	CR44124	lincRNA	
FBgn0266314	CR44979	lincRNA	
FBgn0265542	CR44392	lincRNA	
FBgn0262895	CR43250	lincRNA	
FBgn0053729	snmRNA:430:CR33729	lincRNA	snmRNA:430:CR33729 [Source:FlyBase gene name;Acc:FBgn0053729]
FBgn0266262	CR44957	lincRNA	
FBgn0264857	iab-8	lincRNA	iab-8 non-coding RNA [Source:FlyBase gene name;Acc:FBgn0264857]
FBgn0265633	CR44440	lincRNA	
FBgn0267702	CR46035	lincRNA	
FBgn0265661	CR44468	lincRNA	
FBgn0265508	CR44370	lincRNA	
FBgn0264392	CR43840	lincRNA	
FBgn0065100	snmRNA:254	lincRNA	small non-messenger RNA 254 [Source:FlyBase gene name;Acc:FBgn0065100]
FBgn0265062	CR44173	lincRNA	
FBgn0263455	CR43478	lincRNA	
FBgn0265692	CR44499	lincRNA	
FBgn0261522	CR42657	lincRNA	
FBgn0264710	CR43979	lincRNA	
FBgn0265059	CR44170	lincRNA	
FBgn0263662	CR43653	lincRNA	
FBgn0265585	CR44412	lincRNA	
FBgn0265376	CR44317	lincRNA	
FBgn0266811	CR45273	lincRNA	
FBgn0267783	CR46114	lincRNA	
FBgn0266067	CR44820	lincRNA	
FBgn0266846	CR45308	lincRNA	
FBgn0267636	CR45974	lincRNA	
FBgn0265791	CR44580	lincRNA	
FBgn0267265	CR45701	lincRNA	
FBgn0267627	CR45965	lincRNA	
FBgn0264518	CR43917	lincRNA	
FBgn0265000	CR44151	lincRNA	
FBgn0265449	CR44349	lincRNA	
FBgn0259996	CR40341	lincRNA	
FBgn0065098	RNaseMRP:RNA	lincRNA	Ribonuclease MRP RNA [Source:FlyBase gene name;Acc:FBgn0065098]
FBgn0267714	CR46047	lincRNA	
FBgn0267678	CR46014	lincRNA	
FBgn0265381	CR44322	lincRNA	
FBgn0266681	CR45171	lincRNA	
FBgn0267214	CR45654	lincRNA	
FBgn0265945	CR44732	lincRNA	
FBgn0267485	CR45835	lincRNA	
FBgn0266729	CR45202	lincRNA	
FBgn0052111	CR32111	lincRNA	
FBgn0266690	CR45180	lincRNA	
FBgn0265967	CR44754	lincRNA	
FBgn0262990	CR43298	lincRNA	
FBgn0261709	CR42746	lincRNA	
FBgn0267112	CR45552	lincRNA	
FBgn0266181	CRG	lincRNA	CASK regulatory gene [Source:FlyBase gene name;Acc:FBgn0266181]
FBgn0265850	CR44639	lincRNA	
FBgn0266910	CR45370	lincRNA	
FBgn0267090	CR45534	lincRNA	
FBgn0265072	CR44183	lincRNA	
FBgn0266783	CR45248	lincRNA	
FBgn0266352	CR45001	lincRNA	
FBgn0264837	CR44045	lincRNA	
FBgn0263453	CR43476	lincRNA	
FBgn0267123	CR45563	lincRNA	
FBgn0265540	CR44390	lincRNA	
FBgn0266156	CR44862	lincRNA	
FBgn0262905	CR43260	lincRNA	
FBgn0265039	CR44156	lincRNA	
FBgn0264511	CR43910	lincRNA	
FBgn0266147	CR44853	lincRNA	
FBgn0265040	CR44157	lincRNA	
FBgn0267465	CR45815	lincRNA	
FBgn0000003	7SLRNA:CR32864	lincRNA	Signal recognition particle 7SL RNA CR32864 [Source:FlyBase gene name;Acc:FBgn0000003]
FBgn0263778	CR43695	lincRNA	
FBgn0266769	CR45234	lincRNA	
FBgn0267124	CR45564	lincRNA	
FBgn0264467	CR43875	lincRNA	
FBgn0263505	CR43494	lincRNA	
FBgn0267162	CR45602	lincRNA	
FBgn0266021	CR44786	lincRNA	
FBgn0265650	CR44457	lincRNA	
FBgn0265369	CR44310	lincRNA	
FBgn0265270	CR43239	lincRNA	
FBgn0266246	CR44941	lincRNA	
FBgn0265934	CR44723	lincRNA	
FBgn0264383	CR43835	lincRNA	
FBgn0265832	CR44621	lincRNA	
FBgn0266143	CR44849	lincRNA	
FBgn0264906	CR44097	lincRNA	
FBgn0266804	CR45266	lincRNA	
FBgn0264723	CR43991	lincRNA	
FBgn0264437	CR43855	lincRNA	
FBgn0266837	CR45299	lincRNA	
FBgn0065101	snmRNA:204	lincRNA	small non-messenger RNA 204 [Source:FlyBase gene name;Acc:FBgn0065101]
FBgn0264372	CR43824	lincRNA	
FBgn0264554	CR43933	lincRNA	
FBgn0266235	CR44930	lincRNA	
FBgn0266777	CR45242	lincRNA	
FBgn0266536	CR45097	lincRNA	
FBgn0265870	CR44659	lincRNA	
FBgn0266114	CR44840	lincRNA	
FBgn0265884	CR44673	lincRNA	
FBgn0264268	CR43768	lincRNA	
FBgn0267587	CR45925	lincRNA	
FBgn0267655	CR45993	lincRNA	
FBgn0051781	CR31781	lincRNA	
FBgn0265797	CR44586	lincRNA	
FBgn0265876	CR44665	lincRNA	
FBgn0267128	CR45568	lincRNA	
FBgn0267532	CR45872	lincRNA	
FBgn0266277	CR44962	lincRNA	
FBgn0265759	CR44566	lincRNA	
FBgn0267306	CR45742	lincRNA	
FBgn0266950	CR45401	lincRNA	
FBgn0265312	CR44285	lincRNA	
FBgn0265652	CR44459	lincRNA	
FBgn0265802	CR44591	lincRNA	
FBgn0264262	CR43762	lincRNA	
FBgn0266835	CR45297	lincRNA	
FBgn0263089	CR43357	lincRNA	
FBgn0262682	CR43152	lincRNA	
FBgn0263332	CR43413	lincRNA	
FBgn0054044	CR34044	lincRNA	
FBgn0040965	CR13130	lincRNA	
FBgn0266818	CR45280	lincRNA	
FBgn0267040	CR45484	lincRNA	
FBgn0266984	CR45435	lincRNA	
FBgn0266382	CR45024	lincRNA	
FBgn0265911	CR44700	lincRNA	
FBgn0265814	CR44603	lincRNA	
FBgn0263659	CR43650	lincRNA	
FBgn0267536	CR45876	lincRNA	
FBgn0266004	CR44778	lincRNA	
FBgn0267020	CR45464	lincRNA	
FBgn0266384	CR45026	lincRNA	
FBgn0263769	CR43686	lincRNA	
FBgn0259852	Su(Ste):CR42421	lincRNA	Su(Ste):CR42421 [Source:FlyBase gene name;Acc:FBgn0259852]
FBgn0085364	CR34335	lincRNA	
FBgn0266651	CR45158	lincRNA	
FBgn0267695	CR46031	lincRNA	
FBgn0265634	CR44441	lincRNA	
FBgn0264998	CR44149	lincRNA	
FBgn0266630	CR45137	lincRNA	
FBgn0065107	snmRNA:128	lincRNA	small non-messenger RNA 128 [Source:FlyBase gene name;Acc:FBgn0065107]
FBgn0267577	CR45917	lincRNA	
FBgn0267544	CR45884	lincRNA	
FBgn0065087	snmRNA:649	lincRNA	small non-messenger RNA 649 [Source:FlyBase gene name;Acc:FBgn0065087]
FBgn0266656	CR45163	lincRNA	
FBgn0267574	CR45914	lincRNA	
FBgn0267665	CR46003	lincRNA	
FBgn0265168	CR44237	lincRNA	
FBgn0262149	CR42875	lincRNA	
FBgn0264892	CR44083	lincRNA	
FBgn0266138	CR44844	lincRNA	
FBgn0264436	CR43854	lincRNA	
FBgn0263595	CR43617	lincRNA	
FBgn0265815	CR44604	lincRNA	
FBgn0265931	CR44720	lincRNA	
FBgn0265377	CR44318	lincRNA	
FBgn0265635	CR44442	lincRNA	
FBgn0263448	CR43471	lincRNA	
FBgn0267597	CR45935	lincRNA	
FBgn0267568	CR45908	lincRNA	
FBgn0267535	CR45875	lincRNA	
FBgn0265088	CR44199	lincRNA	
FBgn0263384	CR43436	lincRNA	
FBgn0265808	CR44597	lincRNA	
FBgn0266221	CR44916	lincRNA	
FBgn0265689	CR44496	lincRNA	
FBgn0265739	CR44546	lincRNA	
FBgn0267657	CR45995	lincRNA	
FBgn0266639	CR45146	lincRNA	
FBgn0265826	CR44615	lincRNA	
FBgn0265736	CR44543	lincRNA	
FBgn0267762	CR46093	lincRNA	
FBgn0261503	CR42651	lincRNA	
FBgn0265892	CR44681	lincRNA	
FBgn0264904	CR44095	lincRNA	
FBgn0267070	CR45514	lincRNA	
FBgn0266727	CR45200	lincRNA	
FBgn0266628	CR45135	lincRNA	
FBgn0264485	CR43893	lincRNA	
FBgn0053741	snmRNA:430:CR33741	lincRNA	snmRNA:430:CR33741 [Source:FlyBase gene name;Acc:FBgn0053741]
FBgn0266802	CR45264	lincRNA	
FBgn0267244	CR45684	lincRNA	
FBgn0265672	CR44479	lincRNA	
FBgn0265073	CR44184	lincRNA	
FBgn0265734	CR44541	lincRNA	
FBgn0266866	CR45327	lincRNA	
FBgn0267443	CR45793	lincRNA	
FBgn0264263	CR43763	lincRNA	
FBgn0267160	CR45600	lincRNA	
FBgn0265450	CR44350	lincRNA	
FBgn0267560	CR45900	lincRNA	
FBgn0266988	CR45439	lincRNA	
FBgn0266308	CR44973	lincRNA	
FBgn0267224	CR45664	lincRNA	
FBgn0265902	CR44691	lincRNA	
FBgn0264571	CR43943	lincRNA	
FBgn0267273	CR45709	lincRNA	
FBgn0265372	CR44313	lincRNA	
FBgn0261702	CR42738	lincRNA	
FBgn0264862	CR44053	lincRNA	
FBgn0267299	CR45735	lincRNA	
FBgn0263765	CR43682	lincRNA	
FBgn0267179	CR45619	lincRNA	
FBgn0265344	CR44298	lincRNA	
FBgn0266399	CR45039	lincRNA	
FBgn0267471	CR45821	lincRNA	
FBgn0267580	CR45920	lincRNA	
FBgn0265099	CR44204	lincRNA	
FBgn0264887	CR44078	lincRNA	
FBgn0264891	CR44082	lincRNA	
FBgn0266022	CR44787	lincRNA	
FBgn0265445	CR44345	lincRNA	
FBgn0266748	CR45221	lincRNA	
FBgn0263380	CR43432	lincRNA	
FBgn0267229	CR45669	lincRNA	
FBgn0051044	CR31044	lincRNA	
FBgn0265837	CR44626	lincRNA	
FBgn0267323	CR45759	lincRNA	
FBgn0266972	CR45423	lincRNA	
FBgn0266633	CR45140	lincRNA	
FBgn0265677	CR44484	lincRNA	
FBgn0267032	CR45476	lincRNA	
FBgn0265583	CR44410	lincRNA	
FBgn0264724	CR43992	lincRNA	
FBgn0266808	CR45270	lincRNA	
FBgn0266586	CR45111	lincRNA	
FBgn0262142	CR42868	lincRNA	
FBgn0266895	CR45355	lincRNA	
FBgn0267199	CR45639	lincRNA	
FBgn0267575	CR45915	lincRNA	
FBgn0266909	CR45369	lincRNA	
FBgn0266901	CR45361	lincRNA	
FBgn0267715	CR46048	lincRNA	
FBgn0266885	CR45346	lincRNA	
FBgn0267009	CR45453	lincRNA	
FBgn0265346	CR44300	lincRNA	
FBgn0265309	CR44282	lincRNA	
FBgn0267612	CR45950	lincRNA	
FBgn0267261	CR45697	lincRNA	
FBgn0267766	CR46097	lincRNA	
FBgn0267288	CR45724	lincRNA	
FBgn0267081	CR45525	lincRNA	
FBgn0264381	CR43833	lincRNA	
FBgn0263383	CR43435	lincRNA	
FBgn0266212	CR44907	lincRNA	
FBgn0085540	CR40947	lincRNA	
FBgn0050009	CR30009	lincRNA	
FBgn0263843	CR43704	lincRNA	
FBgn0266789	CR45254	lincRNA	
FBgn0267646	CR45984	lincRNA	
FBgn0265881	CR44670	lincRNA	
FBgn0266379	CR45021	lincRNA	
FBgn0264378	CR43830	lincRNA	
FBgn0266775	CR45240	lincRNA	
FBgn0265163	CR44232	lincRNA	
FBgn0054024	CR34024	lincRNA	
FBgn0262971	CR43282	lincRNA	
FBgn0063083	pncr015:3L	lincRNA	putative noncoding RNA 015:3L [Source:FlyBase gene name;Acc:FBgn0063083]
FBgn0263001	CR43309	lincRNA	
FBgn0263617	CR43626	lincRNA	
FBgn0265841	CR44630	lincRNA	
FBgn0265938	CR44725	lincRNA	
FBgn0267209	CR45649	lincRNA	
FBgn0266768	CR45233	lincRNA	
FBgn0265654	CR44461	lincRNA	
FBgn0266028	CR44793	lincRNA	
FBgn0264984	CR44135	lincRNA	
FBgn0265790	CR44579	lincRNA	
FBgn0264867	CR44058	lincRNA	
FBgn0264475	CR43883	lincRNA	
FBgn0266691	CR45181	lincRNA	
FBgn0266005	CR44779	lincRNA	
FBgn0265940	CR44727	lincRNA	
FBgn0267661	CR45999	lincRNA	
FBgn0264901	CR44092	lincRNA	
FBgn0267220	CR45660	lincRNA	
FBgn0267206	CR45646	lincRNA	
FBgn0266635	CR45142	lincRNA	
FBgn0040859	CR32658	lincRNA	
FBgn0265666	CR44473	lincRNA	
FBgn0265161	CR44230	lincRNA	
FBgn0264358	CR43810	lincRNA	
FBgn0265741	CR44548	lincRNA	
FBgn0266239	CR44934	lincRNA	
FBgn0266959	CR45410	lincRNA	
FBgn0266256	CR44951	lincRNA	
FBgn0267441	CR45791	lincRNA	
FBgn0265701	CR44508	lincRNA	
FBgn0265857	CR44646	lincRNA	
FBgn0264271	CR43771	lincRNA	
FBgn0083990	sphinx	lincRNA	sphinx [Source:FlyBase gene name;Acc:FBgn0083990]
FBgn0267579	CR45919	lincRNA	
FBgn0264512	CR43911	lincRNA	
FBgn0265446	CR44346	lincRNA	
FBgn0265763	CR44570	lincRNA	
FBgn0265723	CR44530	lincRNA	
FBgn0263583	CR43608	lincRNA	
FBgn0266071	CR44824	lincRNA	
FBgn0266965	CR45416	lincRNA	
FBgn0265926	CR44715	lincRNA	
FBgn0264912	CR44103	lincRNA	
FBgn0266302	CR44967	lincRNA	
FBgn0267130	CR45570	lincRNA	
FBgn0267286	CR45722	lincRNA	
FBgn0267034	CR45478	lincRNA	
FBgn0265928	CR44717	lincRNA	
FBgn0265307	CR44280	lincRNA	
FBgn0265709	CR44516	lincRNA	
FBgn0265454	CR44354	lincRNA	
FBgn0267603	CR45941	lincRNA	
FBgn0267571	CR45911	lincRNA	
FBgn0051647	CR31647	lincRNA	
FBgn0266868	CR45329	lincRNA	
FBgn0262109	CR42862	lincRNA	
FBgn0265793	CR44582	lincRNA	
FBgn0004911	Eip63F-2	lincRNA	Ecdysone-induced protein 63F 2 [Source:FlyBase gene name;Acc:FBgn0004911]
FBgn0266904	CR45364	lincRNA	
FBgn0267542	CR45882	lincRNA	
FBgn0264428	CR43846	lincRNA	
FBgn0265150	CR44219	lincRNA	
FBgn0265524	CR44374	lincRNA	
FBgn0265547	CR44397	lincRNA	
FBgn0265719	CR44526	lincRNA	
FBgn0267642	CR45980	lincRNA	
FBgn0267101	CR45541	lincRNA	
FBgn0263489	CR43604	lincRNA	
FBgn0263377	CR43429	lincRNA	
FBgn0266896	CR45356	lincRNA	
FBgn0267230	CR45670	lincRNA	
FBgn0053742	snmRNA:430:CR33742	lincRNA	snmRNA:430:CR33742 [Source:FlyBase gene name;Acc:FBgn0053742]
FBgn0267017	CR45461	lincRNA	
FBgn0266310	CR44975	lincRNA	
FBgn0264995	CR44146	lincRNA	
FBgn0267197	CR45637	lincRNA	
FBgn0266068	CR44821	lincRNA	
FBgn0267318	CR45754	lincRNA	
FBgn0267067	CR45511	lincRNA	
FBgn0267679	CR46015	lincRNA	
FBgn0265500	CR44369	lincRNA	
FBgn0264366	CR43818	lincRNA	
FBgn0267680	CR46016	lincRNA	
FBgn0266395	CR45035	lincRNA	
